title,authors,genre,thumbnail,description,average_rating,main_genre
Lirael,Garth Nix,fantasy fiction,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,when a dangerous necromancer threatens to unleash a longburied evil lirael and prince sameth are drawn into a battle to save the old kingdom and reveal their true destinies suggested level secondary,4.3,Fiction
Tales from the Perilous Realm,John Ronald Reuel Tolkien,"fairy tales, english",http://books.google.com/books/content?id=Wla7NwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,never before published in a single volume tolkiens four novellas farmer giles of ham leaf by niggle smith of wootton major and roverandom and one book of poems the adventures of tom bombadil are gathered together in a fully illustrated set,4.08,Non-Fiction
Breaking Open the Head,Daniel Pinchbeck,hallucinogenic drugs,http://books.google.com/books/content?id=QIMaviqqoQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a new the doors of perception for the 21st century a visionary journey from cynicism to shamanism by a brilliant young us writer,4.06,Non-Fiction
The Yiddish Policemen's Union,Michael Chabon,fiction,http://books.google.com/books/content?id=-reD1g77BfsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,for sixty years jewish refugees and their descendants have prospered in the federal district of sitka a temporary safe haven created in the wake of revelations of the holocaust and the shocking 1948 collapse of the fledgling state of israel proud grateful and longing to be american the jews of the sitka district have created their own little world in the alaskan panhandle a vibrant gritty soulful and complex frontier city that moves to the music of yiddish for sixty years they have been left alone neglected and halfforgotten in a backwater of history now the district is set to revert to alaskan control and their dream is coming to an end once again the tides of history threaten to sweep them up and carry them off into the unknown but homicide detective meyer landsman of the district police has enough problems without worrying about the upcoming reversion his life is a shambles his marriage a wreck his career a disaster he and his halftlingit partner berko shemets cant catch a break in any of their outstanding cases landsmans new supervisor is the love of his lifeand also his worst nightmare and in the cheap hotel where he has washed up someone has just committed a murderright under landsmans nose out of habit obligation and a mysterious sense that it somehow offers him a shot at redeeming himself landsman begins to investigate the killing of his neighbor a former chess prodigy but when word comes down from on high that the case is to be dropped immediately landsman soon finds himself contending with all the powerful forces of faith obsession hopefulness evil and salvation that are his heritageand with the unfinished business of his marriage to bina gelbfish the one person who understands his darkest fears at once a gripping whodunit a love story an homage to 1940s noir and an exploration of the mysteries of exile and redemption the yiddish policemens union is a novel only michael chabon could have written,3.7,Fiction
"Beware, Princess Elizabeth",Carolyn Meyer,children's stories,http://books.google.com/books/content?id=wPBpR4AFNJ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,a matter of life and death and the throne of england,3.88,Children
The Family Way,Tony Parsons,parenthood,http://books.google.com/books/content?id=dJEIxdYmnU8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,it should be the most natural thing in the world but in tony parsons latest bestseller three couples discover that mother nature can be one hell of a bitch,3.51,Non-Fiction
Endless Night,Agatha Christie,fiction,http://books.google.com/books/content?id=kY1wuNfgmFQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,gipsy s acre was a truly beautiful upland site with views out to sea and in michael rogers it stirred a childlike fantasy there among the dark fir trees he planned to build a house find a wonderful girl and live happily ever after yet as he left the village a shadow of menace hung over the land for this was the place where accidents happened perhaps michael should have heeded the locals warnings there s no luck for them as meddles with gipsy s acre ,3.77,Fiction
How to be Alone,Jonathan Franzen,literary collections,http://books.google.com/books/content?id=ozVWaXd9xvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the harpers essay is reprinted in this volume alongside personal essays and painstaking often funny reportage although his subjects range widely each piece wrestles with the erosion of civic life and private dignity and the hidden persistence of loneliness in postmodern america,3.6,Non-Fiction
The Mysterious Mr. Quin,Agatha Christie,detective and mystery stories,http://books.google.com/books/content?id=n0aMDV7Lm4sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a mysterious stranger appears at a new years eve party becoming the enigmatic sleuthing sidekick to the snobbish mr satterthwaite so far it had been a typical new years eve house party but mr satterthwaite a keen observer of human nature sensed that the real drama of the evening was yet to unfold so it proved when a mysterious stranger arrived after midnight who was this mr quin and why did his presence have such a pronounced effect on eleanor portal the woman with the dyedblack hair,3.72,Fiction
The Listerdale Mystery,Agatha Christie,detective and mystery stories,http://books.google.com/books/content?id=J1tLGz5G84EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a selection of mysteries some lighthearted some romantic some very deadly twelve tantalizing cases the curious disappearance of lord listerdale a newlyweds fear of her exfiance a strange encounter on a train a domestic murder investigation a wild mans sudden personality change a retired inspectors hunt for a murderess a young womans impersonation of a duchess a necklace hidden in a basket of cherries a mystery writers arrest for murder an astonishing marriage proposal a sopranos hatred for a baritone the case of the rajahs emerald all have one thing in common the skilful hand of agatha christie,3.55,Fiction
The Real Trial of Oscar Wilde,Merlin Holland,biography & autobiography,http://books.google.com/books/content?id=QfNgQfTKcg0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,oscar wilde had one of literary historys most explosive love affairs with lord alfred bosie douglas in 1895 bosies father the marquess of queensberry delivered a note to the albemarle club addressed to oscar wilde posing as sodomite with bosies encouragement wilde sued the marquess for libel he not only lost but he was tried twice for gross indecency and sent to prison with two years hard labor with this publication of the uncensored trial transcripts readers can for the first time in more than a century hear wilde at his most articulate and brilliant the real trial of oscar wilde documents an alarmingly swift fall from grace it is also a supremely moving testament to the right to live work and love as ones heart dictates,4.04,Non-Fiction
